publication_id,primary_source_id,companion_source_ids,title,publisher,publisher_domain,publication_date,publication_date_precision,publication_date_method,publication_year,source_type,relevance_basis,statistical_use,primary_url,all_urls,retrieval_methods,duplicate_group,source_record_count,max_token_count,tag_count,metric_count,ioc_count,threat_groups,campaigns,sectors,countries_or_regions,targets,kill_chain_phases,mitre_tactics,mitre_attack_ids,ttps,attack_vectors,ai_use_cases,ai_technologies,llm_providers,llm_models,malicious_ai_tools,malware_or_tools,data_types,infrastructure,actor_motivations,impacts,evidence_landscape,cves,manual_review_required,content_quality,analysis_inclusion,ai_relevance,ai_term_count,offense_term_count
pub-011,src-011,,The dawn of agentic AI in security operations at RSAC 2025,Google Threat Intelligence Group / Mandiant,cloud.google.com,2025-04-28,day,text,2025,other,requires manual relevance review,do_not_aggregate,https://cloud.google.com/blog/products/identity-security/the-dawn-of-agentic-ai-in-security-operations-at-rsac-2025,https://cloud.google.com/blog/products/identity-security/the-dawn-of-agentic-ai-in-security-operations-at-rsac-2025,direct,,1,1546,16,1,0,,,Financial Services|Government|Telecommunications,,Developers,Exploitation,Execution|Initial Access,,,,,Agentic AI|Large language model,Google,Gemini,,,Credentials and passwords|Documents and files,Browser|Endpoint,,,Controlled study,,yes,usable_machine_extraction,context_only,adjacent_ai_security,33,6
pub-012,src-012,,Adversarial Misuse of Generative AI,Google Threat Intelligence Group / Mandiant,cloud.google.com,2025-01-30,day,text,2025,operational_cti,"campaign, actor, malware, or abuse investigation",incident_or_observation,https://cloud.google.com/blog/topics/threat-intelligence/adversarial-misuse-generative-ai,https://cloud.google.com/blog/topics/threat-intelligence/adversarial-misuse-generative-ai,direct,,1,7326,93,4,0,APT41|APT42 / Charming Kitten|APT43 / Kimsuky|APT41|APT42|APT43|UNC6671,,Cryptocurrency|Defense|Education|Financial Services|Government|Telecommunications,China|France|Germany|Iran|Israel|North Korea|Russia|South Korea|Taiwan|Ukraine|United States,Developers|Employees|Executives,Actions on Objectives|Command and Control|Delivery|Exploitation|Reconnaissance|Weaponization,Collection|Command and Control|Defense Evasion|Discovery|Execution|Exfiltration|Impact|Initial Access|Lateral Movement|Privilege Escalation|Reconnaissance|Resource Development,,Business email compromise|Command and control|Data exfiltration|Defense evasion|Malware generation|PowerShell execution|Prompt injection|Supply-chain compromise|Target research / OSINT|Voice phishing / vishing,Business email compromise|Supply chain|Vishing,Deepfake video or image|Identity fraud and impersonation|Malware development|Obfuscation and evasion|Reconnaissance and target research|Translation and localization|Vulnerability research,Agentic AI|Generative AI|Large language model,Google,Gemini,FraudGPT|WormGPT,Cobalt Strike|Mimikatz,Credentials and passwords|Documents and files|Source code,Browser|Email|Endpoint|Messaging platform|Mobile|Social media,Espionage|Financial|Influence / information operations,Data theft or exfiltration|Espionage|Ransomware or extortion|Service disruption,In-the-wild observed|Proof of concept|Underground-market observation,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,232,151
pub-013,src-013,,AI Enhancing Your Adversarial Emulation,Google Threat Intelligence Group / Mandiant,cloud.google.com,2024-11-15,day,text,2024,operational_cti,"campaign, actor, malware, or abuse investigation",incident_or_observation,https://cloud.google.com/blog/topics/threat-intelligence/ai-enhancing-your-adversarial-emulation,https://cloud.google.com/blog/topics/threat-intelligence/ai-enhancing-your-adversarial-emulation,direct,,1,4868,34,16,0,UNC6671,,Financial Services|Government|Telecommunications,Russia,Developers|Employees,Delivery|Exploitation|Reconnaissance,Initial Access|Lateral Movement|Privilege Escalation|Reconnaissance,,Supply-chain compromise|Target research / OSINT|Voice phishing / vishing,Supply chain|Vishing,Reconnaissance and target research,Large language model,Google|OpenAI,Gemini,,,Credentials and passwords|Documents and files|Source code,Browser|Email|Endpoint|Social media,,Ransomware or extortion,Controlled study|Forecast or prediction,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,63,40
pub-014,src-014,,AI-Powered Voice Spoofing for Next-Gen Vishing Attacks,Google Threat Intelligence Group / Mandiant,cloud.google.com,2024-07-24,day,text,2024,operational_cti,"campaign, actor, malware, or abuse investigation",incident_or_observation,https://cloud.google.com/blog/topics/threat-intelligence/ai-powered-voice-spoofing-vishing-attacks,https://cloud.google.com/blog/topics/threat-intelligence/ai-powered-voice-spoofing-vishing-attacks,direct,,1,2135,39,1,0,UNC6671,,Financial Services|Government|Telecommunications,Russia,Developers|Employees|Executives,Delivery|Exploitation|Reconnaissance,Initial Access|Lateral Movement|Privilege Escalation,,CAPTCHA bypass|Deepfake impersonation|Supply-chain compromise|Target research / OSINT|Voice phishing / vishing,Supply chain|Vishing,CAPTCHA bypass|Deepfake video or image|Deepfake voice|Identity fraud and impersonation|Reconnaissance and target research,Deepfake / synthetic media|Generative AI|Large language model|Speech or voice synthesis,,,,,Credentials and passwords|Source code,Browser|Email|Endpoint|Mobile,Influence / information operations,Ransomware or extortion,Forecast or prediction,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,38,50
pub-015,src-015,,"Adversaries Leverage AI for Vulnerability Exploitation, Augmented Operations, and Initial Access",Google Threat Intelligence Group / Mandiant,cloud.google.com,2026-05-12,day,text,2026,operational_cti,"campaign, actor, malware, or abuse investigation",incident_or_observation,https://cloud.google.com/blog/topics/threat-intelligence/ai-vulnerability-exploitation-initial-access,https://cloud.google.com/blog/topics/threat-intelligence/ai-vulnerability-exploitation-initial-access,direct,,1,6376,117,0,0,APT27|APT45|UNC2814|UNC5673|UNC6201|UNC6671|UNC6780,Operation Overload,Financial Services|Government|Media|Telecommunications,China|Iran|Japan|North Korea|Russia|Ukraine,Developers|Executives,Actions on Objectives|Command and Control|Delivery|Exploitation|Installation|Reconnaissance|Weaponization,Collection|Command and Control|Defense Evasion|Discovery|Execution|Exfiltration|Impact|Initial Access|Persistence|Reconnaissance|Resource Development,T0008.000|T0008.005|T0010.001|T0016.001|T0016.002|T0021|T0040|T0054|T0072|T0088|T0102|T0103|T1027.014|T1027.016|T1090.003|T1566|T1587.001|T1587.004|T1588.002|T1588.005|T1588.006|T1588.007|T1591.002|T1591.004|T1592.001,CAPTCHA bypass|Command and control|Credential theft|Data exfiltration|Deepfake impersonation|Defense evasion|Exploit development|Obfuscation|Prompt injection|Ransomware deployment|Supply-chain compromise|Voice phishing / vishing,Supply chain|Vishing,Autonomous or agentic intrusion|CAPTCHA bypass|Deepfake video or image|Deepfake voice|Exploit development|Identity fraud and impersonation|Malware development|Obfuscation and evasion|Reconnaissance and target research|Translation and localization|Vulnerability research,Agentic AI|Deepfake / synthetic media|Generative AI|Large language model|Speech or voice synthesis,Anthropic|Google|OpenAI,ChatGPT|Claude|Gemini,,PromptFlux|PROMPTSPY,Credentials and passwords|Documents and files|Source code,Browser|Endpoint|Mobile,Financial|Influence / information operations,Credential compromise|Data theft or exfiltration|Ransomware or extortion,Controlled study|Forecast or prediction|In-the-wild observed|Incident response|Proof of concept,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,198,195
pub-016,src-016,,Text-to-Malware: How Cybercriminals Weaponize Fake AI-Themed Websites,Google Threat Intelligence Group / Mandiant,cloud.google.com,2025-05-27,day,text,2025,operational_cti,"campaign, actor, malware, or abuse investigation",incident_or_observation,https://cloud.google.com/blog/topics/threat-intelligence/cybercriminals-weaponize-fake-ai-websites/,https://cloud.google.com/blog/topics/threat-intelligence/cybercriminals-weaponize-fake-ai-websites/,direct,,1,4866,52,0,38,UNC6032|UNC6032|UNC6671,,Cryptocurrency|Financial Services|Government|Telecommunications,European Union|Russia|United States|Vietnam,Developers,Actions on Objectives|Command and Control|Exploitation|Installation|Reconnaissance,Collection|Command and Control|Defense Evasion|Discovery|Execution|Exfiltration|Persistence|Reconnaissance,,Command and control|Data exfiltration|Defense evasion|Malicious advertising|Obfuscation|PowerShell execution|Supply-chain compromise|Voice phishing / vishing,Fake AI website|Malicious advertisement|Supply chain|Vishing,Obfuscation and evasion|Reconnaissance and target research,,,,,STARKVEIL malware,Credentials and passwords|Cryptocurrency keys or seed phrases|Documents and files|Financial and payment data|Source code,Browser|Messaging platform|Social media,,Data theft or exfiltration|Ransomware or extortion|Service disruption,Forecast or prediction,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,36,81
pub-017,src-017,,Defending Your Enterprise When AI Models Can Find Vulnerabilities Faster Than Ever,Google Threat Intelligence Group / Mandiant,cloud.google.com,2026-04-17,day,text,2026,operational_cti,"campaign, actor, malware, or abuse investigation",incident_or_observation,https://cloud.google.com/blog/topics/threat-intelligence/defending-enterprise-ai-vulnerabilities,https://cloud.google.com/blog/topics/threat-intelligence/defending-enterprise-ai-vulnerabilities,direct,,1,3371,39,0,0,UNC6671,,Critical Infrastructure|Financial Services|Government|Telecommunications,China|Russia,Developers|Employees,Actions on Objectives|Exploitation|Reconnaissance|Weaponization,Discovery|Execution|Impact,,Exploit development|Prompt injection|Supply-chain compromise|Voice phishing / vishing|Vulnerability scanning,Supply chain|Vishing,Exploit development|Vulnerability research,Agentic AI|Large language model,Anthropic|Google,Claude|Gemini,,,Credentials and passwords|Source code,Browser|Endpoint,,Ransomware or extortion,Forecast or prediction|In-the-wild observed|Underground-market observation,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,61,51
pub-018,src-018,,"GTIG AI Threat Tracker: Distillation, Experimentation, and (Continued) Integration of AI for Adversarial Use",Google Threat Intelligence Group / Mandiant,cloud.google.com,2026-02-13,day,text,2026,operational_cti,"campaign, actor, malware, or abuse investigation",incident_or_observation,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,direct,,1,5787,99,0,0,APT31|APT41|APT42 / Charming Kitten|APT31|APT41|APT42|UNC2970|UNC5356|UNC6418|UNC6671|UNC795,,Cryptocurrency|Defense|Financial Services|Government|Telecommunications,China|Iran|North Korea|Russia|Ukraine|United States,Developers|Executives|Security researchers,Actions on Objectives|Command and Control|Delivery|Exploitation|Installation|Reconnaissance|Weaponization,Collection|Command and Control|Defense Evasion|Discovery|Execution|Exfiltration|Impact|Initial Access|Reconnaissance|Resource Development,,Command and control|Credential harvesting|Data exfiltration|Malicious advertising|Malware generation|Obfuscation|Prompt injection|Spearphishing|Supply-chain compromise|Target research / OSINT|Voice phishing / vishing,Credential theft|Malicious advertisement|Spearphishing|Supply chain|Vishing,Identity fraud and impersonation|Malware development|Obfuscation and evasion|Phishing and lure generation|Reconnaissance and target research|Translation and localization|Vulnerability research,Agentic AI|Generative AI|Large language model,DeepSeek|Google|Microsoft|OpenAI|xAI,ChatGPT|DeepSeek|Gemini|Grok|Microsoft Copilot,,HONESTCUE malware|PromptFlux,Credentials and passwords|Cryptocurrency keys or seed phrases|Documents and files|Financial and payment data|Source code,Browser|Cloud|Email|Endpoint,Financial|Hacktivism|Influence / information operations,Data theft or exfiltration|Ransomware or extortion,Controlled study|Forecast or prediction|In-the-wild observed|Proof of concept|Underground-market observation,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,173,210
pub-019,src-019,src-039,GTIG AI Threat Tracker: Advances in Threat Actor Usage of AI Tools,Google Threat Intelligence Group / Mandiant,cloud.google.com,2025-11-06,day,text,2025,operational_cti,"campaign, actor, malware, or abuse investigation",incident_or_observation,https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools,https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools|https://services.google.com/fh/files/misc/advances-in-threat-actor-usage-of-ai-tools-en.pdf,direct,dup-002,2,5451,103,0,0,APT28 / Fancy Bear|APT41|APT42 / Charming Kitten|UNC1069|APT28|APT41|APT42|UNC1069|UNC4899|UNC6671,,Cryptocurrency|Education|Financial Services|Government|Telecommunications,Africa|China|Iran|Israel|North Korea|Russia|Ukraine,Developers|Executives|Security researchers,Actions on Objectives|Command and Control|Delivery|Exploitation|Installation|Reconnaissance|Weaponization,Command and Control|Defense Evasion|Discovery|Execution|Exfiltration|Impact|Initial Access|Lateral Movement|Persistence|Privilege Escalation|Reconnaissance|Resource Development,,Command and control|Credential harvesting|Data exfiltration|Deepfake impersonation|Defense evasion|Exploit development|Malware generation|MFA/session-token theft|Obfuscation|PowerShell execution|Prompt injection|Script generation|Supply-chain compromise|Voice phishing / vishing,Credential theft|Smishing|Supply chain|Vishing,Deepfake video or image|Exploit development|Identity fraud and impersonation|Malware development|Obfuscation and evasion|Reconnaissance and target research|Translation and localization|Vulnerability research,Agentic AI|Deepfake / synthetic media|Generative AI|Large language model,Google|Hugging Face,Gemini,,BIGMACHO backdoor|Cobalt Strike|LAMEHUG|PromptFlux|PromptSteal|QuietVault,Credentials and passwords|Cryptocurrency keys or seed phrases|Documents and files|Personally identifiable information|Session cookies or tokens|Source code,Browser|Cloud|Email|Endpoint|Mobile,Financial|Influence / information operations,Data theft or exfiltration|Ransomware or extortion,Controlled study|Forecast or prediction|In-the-wild observed|Proof of concept|Underground-market observation,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,156,153
pub-020,src-020,,"Threat Actors are Interested in Generative AI, but Use Remains Limited",Google Threat Intelligence Group / Mandiant,cloud.google.com,2023-08-17,day,text,2023,operational_cti,"campaign, actor, malware, or abuse investigation",incident_or_observation,https://cloud.google.com/blog/topics/threat-intelligence/threat-actors-generative-ai-limited,https://cloud.google.com/blog/topics/threat-intelligence/threat-actors-generative-ai-limited,direct,,1,2678,65,0,0,APT43 / Kimsuky|APT43|UNC6671,,Financial Services|Government|Media|Telecommunications,Canada|China|Iran|Israel|North Korea|Russia|Ukraine,Developers|Security researchers,Actions on Objectives|Delivery|Exploitation|Reconnaissance|Weaponization,Collection|Defense Evasion|Initial Access|Reconnaissance|Resource Development,,Business email compromise|Deepfake impersonation|Malware generation|Obfuscation|Prompt injection|Supply-chain compromise|Voice phishing / vishing,Business email compromise|Supply chain|Vishing,Deepfake video or image|Deepfake voice|Identity fraud and impersonation|Influence operations|Malware development|Obfuscation and evasion|Reconnaissance and target research,Deepfake / synthetic media|Generative AI|Large language model|Speech or voice synthesis,OpenAI,ChatGPT,WormGPT,Cobalt Strike,Source code,Browser|Email|Endpoint|Messaging platform|Social media,Espionage|Financial|Hacktivism|Influence / information operations,Espionage|Ransomware or extortion,Forecast or prediction|Underground-market observation,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,88,54
pub-021,src-021,,UNC1069 Targets Cryptocurrency Sector with New Tooling and AI-Enabled Social Engineering,Google Threat Intelligence Group / Mandiant,cloud.google.com,2026-02-10,day,text,2026,operational_cti,"campaign, actor, malware, or abuse investigation",incident_or_observation,https://cloud.google.com/blog/topics/threat-intelligence/unc1069-targets-cryptocurrency-ai-social-engineering,https://cloud.google.com/blog/topics/threat-intelligence/unc1069-targets-cryptocurrency-ai-social-engineering,direct,,1,5198,61,0,16,BlueNoroff|UNC1069|UNC1069|UNC4899|UNC6671,,Cryptocurrency|Financial Services|Government|Technology|Telecommunications,North Korea|Russia,Developers|Employees|Executives,Actions on Objectives|Command and Control|Delivery|Installation|Reconnaissance,Collection|Command and Control|Discovery|Execution|Exfiltration|Initial Access|Persistence|Reconnaissance,,Command and control|Credential harvesting|Data exfiltration|Deepfake impersonation|MFA/session-token theft|Spearphishing|Supply-chain compromise|Voice phishing / vishing,Spearphishing|Supply chain|Vishing,Deepfake video or image|Reconnaissance and target research|Translation and localization,Deepfake / synthetic media|Generative AI,Google,Gemini,,HIDDENCALL backdoor|UNC1069 malware,Credentials and passwords|Documents and files|Session cookies or tokens|Source code,Browser|Endpoint|Messaging platform|Social media,Financial,Data theft or exfiltration|Ransomware or extortion,In-the-wild observed|Incident response,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,16,54
