candidate	url	title	candidate_tags
43	https://1200km.com/articles/read/2026/2026-04-29-ai-offensive-security-practical-attacks-against-llm-agents-516dbdabbf86	AI Offensive Security: Practical Attacks Against LLM Agents	data-movement
44	https://1200km.com/articles/read/2026/2026-05-02-apt41-targeting-pharmaceutical-sector-log4shell-to-domain-compromise-9e4c1ba9dad6	APT41 Targeting Pharmaceutical Sector: Log4Shell to Domain Compromise	temporal, protocol-application
45	https://1200km.com/articles/read/2026/2026-05-02-lab-architecture-operation-dragonrx-38602f432e5c	Lab Architecture — Operation DragonRx	protocol-application
46	https://1200km.com/articles/read/2026/2026-05-04-attack-playbook-operation-dragonrx-91339316f0df	Attack Playbook — Operation DragonRx	temporal, protocol-application
47	https://1200km.com/articles/read/2026/2026-05-08-manual-cti-vs-ai-assisted-cti-a-step-by-step-clock-comparison-ee08325203fc	Manual CTI vs. AI-Assisted CTI: A Step-by-Step Clock Comparison	temporal, data-movement
48	https://1200km.com/articles/read/2026/2026-05-09-cti-kill-chain-an-analyst-guide-with-real-world-evidence-c3bef6fd2979	CTI Kill Chain: An Analyst Guide With Real-World Evidence	temporal
49	https://1200km.com/articles/read/2026/2026-05-09-cti-led-defensive-strategy-for-a-cellular-provider-case-study-c77bc5765b31	CTI-Led Defensive Strategy for a Cellular Provider (Case Study)	identity-access
50	https://1200km.com/articles/read/2026/2026-05-11-customer-driven-ai-cti-project-template-part-1-foundations-745861507d03	Customer-Driven AI CTI Project Template. Part 1: Foundations	frequency-rate
51	https://1200km.com/articles/read/2026/2026-05-12-customer-driven-ai-cti-project-template-part-2b-reference-toolkit-3a56fab0b943	Customer-Driven AI CTI Project Template:Part 2B: Reference Toolkit	volumetric, frequency-rate
52	https://1200km.com/articles/read/2026/2026-05-18-cti-analyst-field-manual-complete-reference-ef2a370bb21f	CTI Analyst Field Manual — Complete Reference	frequency-rate
53	https://1200km.com/articles/read/2026/2026-05-23-operation-desert-hydra-ai-assisted-cti-pipeline-muddywater-to-kibana-34da7917acf0	Operation Desert Hydra — AI-Assisted CTI Pipeline: MuddyWater to Kibana	frequency-rate, temporal, data-movement, protocol-application
54	https://1200km.com/articles/read/2026/2026-05-29-cti-as-a-code-complete-step-by-step-methodology-dda5ef496a46	CTI as a Code: Complete Step-by-Step Methodology	temporal, geographic-asn
55	https://1200km.com/articles/read/2026/2026-05-30-cti-as-a-code-in-practice-reactive-investigation-lifetech-pharma-3e6574b7b85f	CTI as a Code in Practice: Reactive Investigation — LifeTech Pharma	temporal, identity-access, parent-child
56	https://1200km.com/articles/read/2026/2026-06-07-adversarygraph-i-built-a-self-hosted-ai-threat-intelligence-platform-here-s-how-to-use-it-0aa7673e6bd8	AdversaryGraph: I Built a Self-Hosted AI Threat Intelligence Platform — Here’s How to Use It	frequency-rate
57	https://1200km.com/articles/read/2026/2026-06-21-from-log-to-report-using-adversarygraph-eff2e1d8f2cd	From Log to Report: Using AdversaryGraph!	volumetric, parent-child
58	https://1200km.com/articles/read/2026/2026-06-29-adversarygraph-v5-0-from-cti-mapping-to-attack-simulation-and-siem-validation-21873b2a6c39	AdversaryGraph v5.0: From CTI Mapping to Attack Simulation and SIEM Validation	frequency-rate, sequence
59	https://1200km.com/articles/read/2026/2026-07-11-newest-detection-engineering-techniques-from-rules-to-validated-security-telemetry-a5ccb46d5556	Newest Detection Engineering Techniques: From Rules to Validated Security Telemetry	volumetric, frequency-rate, peer-group, sequence, geographic-asn, rare-process-service, data-movement, protocol-application
60	https://1200km.com/articles/read/2026/2026-08-08-ai-security-course-module-00-chapter-3-1bf0411472f6	AI Security Course, Module 00 — Chapter 3: Neural Networks and Optimization	frequency-rate
61	https://1200km.com/articles/read/2026/2026-08-12-strings-analysis-for-malware-analysis-turning-391815ee35e2	Strings Analysis for Malware Analysis: Turning Binary Text into Defensible Hypotheses	frequency-rate
62	https://1200km.com/articles/read/2026/2026-09-20-adversarygraph-vs-ten-malware-pcaps-evidence-7dfd6a0917cf	AdversaryGraph vs Ten Malware PCAPs: What the Evidence Actually Shows	temporal
63	https://1200km.com/articles/trainsec/hardware-hacking-the-hitchhikers-guide-to-breaking-secure-boot-jetson-orin-cves.html	The Hitchhiker's Guide to Breaking Secure Boot	sequence, state-change
64	https://1200km.com/articles/trainsec/windows-internals-windows-logon-sessions-and-tokens.html	What Are Windows Logon Sessions and How Do They Relate to Tokens?	identity-access
65	https://1200km.com/CTI_as_a_Code/celltronx-proactive-case-study	CTI as a Code in Practice: Proactive Assessment — CelltronX Telecom	volumetric, temporal, geographic-asn
66	https://1200km.com/CTI_as_a_Code/cti-as-a-code-methodology	CTI as a Code: Complete Step-by-Step Methodology	temporal, geographic-asn
67	https://1200km.com/CTI_as_a_Code/ecosystem	CTI Project Ecosystem	data-movement
68	https://1200km.com/CTI_as_a_Code/lifetech-pharma-case-study	Case Study: CTI as a Code in Practice — LifeTech Pharma	temporal, identity-access
69	https://1200km.com/CTI_as_a_Code/methodology	CTI as a Code — Methodology	parent-child
70	https://1200km.com/CTI_as_a_Code/proactive-walkthrough	CTI as a Code in Practice: Proactive Threat Assessment — CelltronX Telecom	volumetric, temporal
71	https://1200km.com/CTI_as_a_Code/reactive-walkthrough	CTI as a Code in Practice: Reactive Investigation — LifeTech Pharma	temporal, identity-access
72	https://1200km.com/CTI_as_a_Code/training/emulation-ndsa	A08 — Adversary Emulation (Gov): NDSA INCD Section 8	temporal
73	https://1200km.com/CTI_as_a_Code/training/emulation-techpay	A04 — Adversary Emulation: TechPay (Operation Desert Cipher)	temporal
74	https://1200km.com/CTI_as_a_Code/training/proactive-govid2	A06 — Proactive CTI (Gov): GovID 2.0 Pre-Launch	temporal
75	https://1200km.com/CTI_as_a_Code/training/reactive-lifetech	A01 — Reactive IR: LifeTech Pharma	geographic-asn
76	https://1200km.com/CTI_as_a_Code/training/reactive-ndsa	A05 — Reactive IR (Gov): NDSA Biometric Breach	geographic-asn
77	https://1200km.com/cti-analyst-field-manual/docs/cti-to-detection/detection-readiness-levels	Detection Readiness Levels	frequency-rate
78	https://1200km.com/customer-driven-ai-cti-project/docs/methodology/complete-template	Customer-Driven AI CTI Project Template	frequency-rate
79	https://1200km.com/customer-driven-ai-cti-project/docs/methodology/foundations	Customer-Driven AI CTI Project Template	frequency-rate
80	https://1200km.com/customer-driven-ai-cti-project/docs/methodology/reference-toolkit	Customer-Driven AI CTI Project Template	volumetric, frequency-rate
81	https://1200km.com/customer-driven-ai-cti-project/docs/practitioner-package/detection-artifacts	Detection Artifacts	identity-access
82	https://1200km.com/cyber-knowledge/cti.html	Cyber Threat Intelligence (CTI)	data-movement
83	https://1200km.com/cyber-knowledge/dfir.html	Digital Forensics & Incident Response (DFIR)	parent-child
84	https://1200km.com/Hexstrike-AI-guide/docs/attack-techniques/adcs-esc8	AI-Assisted ADCS ESC8 Lab Validation in GOAD-Mini	identity-access
85	https://1200km.com/Hexstrike-AI-guide/docs/attack-techniques/smb-brute-force	HexStrike + Gemini. AI-Assisted SMB Exposure Credential Brute-Force	volumetric, frequency-rate
86	https://1200km.com/Hexstrike-AI-guide/docs/attack-techniques/ssh-brute-force	HexStrike + Gemini. AI-Assisted SSH Credential Brute-Force	frequency-rate
87	https://1200km.com/insider-threat-detection	Insider Threat Detection	identity-access, data-movement
88	https://1200km.com/insider-threat-detection/docs/case-studies/levandowski	3.4 Anthony Levandowski — Waymo Engineer (2016)	volumetric
89	https://1200km.com/insider-threat-detection/docs/case-studies/manning	3.1 Chelsea Manning — US Army Intelligence Analyst (2010)	data-movement
90	https://1200km.com/insider-threat-detection/docs/case-studies/ruiz	3.8 Reyes Daniel Ruiz — Yahoo Software Engineer (2018)	volumetric
91	https://1200km.com/insider-threat-detection/docs/case-studies/skelton	3.7 Andrew Skelton — Morrisons Internal Auditor (2014)	data-movement
92	https://1200km.com/insider-threat-detection/docs/case-studies/snowden	3.2 Edward Snowden — NSA Contractor (2013)	identity-access, data-movement
93	https://1200km.com/insider-threat-detection/docs/case-studies/tesla	3.12 Tesla — Departing Employee Data Leak (2023)	data-movement
94	https://1200km.com/insider-threat-detection/docs/case-studies/twitter	3.13 Twitter — Saudi Arabia State-Sponsored Insider Espionage (2015)	volumetric
95	https://1200km.com/insider-threat-detection/docs/case-studies/zheng	3.6 Xiaoqing Zheng — GE Aviation Engineer (2019 indictment)	data-movement
96	https://1200km.com/insider-threat-detection/docs/conclusion	9. Conclusion and Coverage Gaps	frequency-rate
97	https://1200km.com/insider-threat-detection/docs/detection-methods	4. Detection Methods	identity-access
98	https://1200km.com/insider-threat-detection/docs/detection-methods/behavioural-heuristics	4.2 Behavioural Heuristics	volumetric, temporal, peer-group, geographic-asn, identity-access
99	https://1200km.com/insider-threat-detection/docs/detection-methods/deterministic-rules	4.1 Deterministic Rules	volumetric
100	https://1200km.com/insider-threat-detection/docs/detection-methods/exfiltration-paths	4.4 Exfiltration Path Coverage	volumetric, peer-group, protocol-application
101	https://1200km.com/insider-threat-detection/docs/detection-methods/identity-privilege	4.3 Identity and Privilege Anomalies	identity-access
102	https://1200km.com/insider-threat-detection/docs/detection-methods/sabotage-signals	4.5 Sabotage Signals	state-change
103	https://1200km.com/insider-threat-detection/docs/detection-methods/ueba-anomaly	4.6 UEBA and Anomaly Models	peer-group, sequence
104	https://1200km.com/insider-threat-detection/docs/implementation	8. Implementation Guidance	volumetric, peer-group, sequence, data-movement
105	https://1200km.com/insider-threat-detection/docs/intro	Detecting Malicious Insider Activity: A Technical Detection Engineering Guide	identity-access
106	https://1200km.com/insider-threat-detection/docs/priority-matrix	5. Detection Priority Matrix	frequency-rate, peer-group, sequence, protocol-application
107	https://1200km.com/insider-threat-detection/docs/references	10. References	protocol-application
108	https://1200km.com/insider-threat-detection/docs/taxonomy	2. Insider Threat Taxonomy and Kill Chain	volumetric
109	https://1200km.com/insider-threat-detection/docs/why-harder	1. Why Insider Detection Is Structurally Harder	volumetric, identity-access
110	https://1200km.com/israel-government-threat-actors-cti/actors/apt35	Magic Hound / APT35	geographic-asn
111	https://1200km.com/israel-government-threat-actors-cti/actors/darkbit	DarkBit	identity-access
112	https://1200km.com/israel-government-threat-actors-cti/actors/lyceum	Lyceum	protocol-application
113	https://1200km.com/israel-government-threat-actors-cti/actors/oilrig	OilRig	protocol-application
114	https://1200km.com/israel-government-threat-actors-cti/detection-engineering/platform-field-mapping	Platform Field Mapping	protocol-application
115	https://1200km.com/israel-government-threat-actors-cti/detection-engineering/soc-triage-playbooks	SOC Triage Playbooks	identity-access
116	https://1200km.com/israel-government-threat-actors-cti/israel-government-threat-model	Israel Government Threat Model	geographic-asn
117	https://1200km.com/israel-government-threat-actors-cti/malware-tool-intelligence	Malware And Tool Intelligence	identity-access, rare-process-service, protocol-application
118	https://1200km.com/israel-government-threat-actors-cti/navigation/surface-capability-matrix	Surface And Capability Matrix	protocol-application
119	https://1200km.com/israel-government-threat-actors-cti/tools/nicecurl	NICECURL	rare-process-service
120	https://1200km.com/israel-government-threat-actors-cti/tools/powerpost	POWERPOST	identity-access
121	https://1200km.com/israel-government-threat-actors-cti/tools/saitama	Saitama	protocol-application
122	https://1200km.com/ITDR/docs/attacks/active-directory/constrained-delegation	Constrained Delegation Abuse	temporal
123	https://1200km.com/ITDR/docs/attacks/entra-cloud/aitm-phishing	AiTM Phishing (Adversary-in-the-Middle)	geographic-asn, identity-access
124	https://1200km.com/ITDR/docs/attacks/entra-cloud/managed-identity-abuse	Managed Identity Abuse	identity-access
125	https://1200km.com/ITDR/docs/attacks/saas/api-token-abuse	API Token Abuse	volumetric
126	https://1200km.com/ITDR/docs/attacks/saas/oauth-app-abuse	OAuth App Abuse	volumetric
127	https://1200km.com/ITDR/docs/attacks/saas/session-hijacking	Session Hijacking	geographic-asn
128	https://1200km.com/ITDR/docs/identity-foundations/identity-as-perimeter	Identity as the New Perimeter	geographic-asn
129	https://1200km.com/ITDR/docs/identity-foundations/identity-attack-surface	Identity Attack Surface	identity-access
130	https://1200km.com/ITDR/docs/identity-foundations/identity-frameworks	Identity Frameworks & Standards	geographic-asn
131	https://1200km.com/ITDR/docs/itdr-vendors/itdr-vendor-landscape	ITDR Vendor Landscape	sequence, geographic-asn, identity-access
132	https://1200km.com/ITDR/docs/pam/pam-overview	Privileged Access Management (PAM)	temporal, identity-access, state-change
133	https://1200km.com/ITDR/docs/protocols/active-directory/ad-overview	Active Directory — Overview	frequency-rate
134	https://1200km.com/ITDR/docs/protocols/entra-id/entra-overview	Entra ID (Azure AD) — Overview	geographic-asn
135	https://1200km.com/ITDR/docs/protocols/entra-id/identity-protection	Entra ID Identity Protection	geographic-asn, identity-access
136	https://1200km.com/ITDR/docs/roadmap	ITDR Professional Roadmap	volumetric, temporal, peer-group, sequence, geographic-asn
137	https://1200km.com/newest-detection-engineering-techniques	Newest Detection Engineering Techniques	volumetric, peer-group, data-movement
138	https://1200km.com/opencti-intelligent-shield/docs/intelligent-shield	The Intelligent Shield: Building an AI-Powered CTI Platform with OpenCTI	identity-access
139	https://1200km.com/operation-desert-hydra/docs/limitations	Limitations	protocol-application
140	https://1200km.com/operation-desert-hydra/docs/phase-1-source-gathering	Phase 1: Source Gathering	temporal
141	https://1200km.com/operation-desert-hydra/docs/phase-2-procedure-dataset	Phase 2: Procedure Dataset	temporal, protocol-application
142	https://1200km.com/operation-desert-hydra/docs/phase-4-detection-atlas	Phase 4: Detection Atlas	frequency-rate, temporal, protocol-application
143	https://1200km.com/operation-desert-hydra/docs/phase-5-results	Phase 5: Validation Results Summary	protocol-application
144	https://1200km.com/operation-desert-hydra/docs/phase-5-validation-lab	Phase 5: Validation Lab	protocol-application
145	https://1200km.com/operation-desert-hydra/docs/phase-6-coverage-matrix	Phase 6: Coverage Matrix	protocol-application
